id,split,mean_B4,mean_B3,mean_B2,centroid_dist_to_river_m,centroid_dist_to_river_m,encroachment
312,train,1428.0,1188.0,935.0,287.434052575446,287.434052575446,0
313,train,0.0,0.0,0.0,352.6063706173836,352.6063706173836,0
314,train,1337.0,1136.0,984.5,324.1552445615768,324.1552445615768,0
315,train,0.0,0.0,0.0,336.61788152472514,336.61788152472514,0
316,test,1319.0,1198.0,996.5,293.21821159193024,293.21821159193024,0
317,test,1207.3333740234375,1021.0,897.3333129882812,344.5879855734694,344.5879855734694,0
318,train,0.0,0.0,0.0,302.563986668902,302.563986668902,0
319,train,0.0,0.0,0.0,366.62782237635565,366.62782237635565,0
320,train,0.0,0.0,0.0,372.0708309349435,372.0708309349435,0
321,train,1178.0,1022.0,936.0,378.8585594144785,378.8585594144785,0
322,test,1223.5999755859375,1026.0,886.0,355.99293405242497,355.99293405242497,0
323,train,1353.0,1090.0,947.5,385.23654825678,385.23654825678,0
324,train,1208.4000244140625,1043.199951171875,924.5999755859375,376.387264537275,376.387264537275,0
325,train,1410.1666259765625,1132.8333740234375,982.3333129882812,428.41090919942417,428.41090919942417,0
326,train,0.0,0.0,0.0,394.49737184296885,394.49737184296885,0
327,train,1405.3333740234375,1178.0,1025.6666259765625,407.37576807617705,407.37576807617705,0
328,train,0.0,0.0,0.0,385.85804837779955,385.85804837779955,0
329,test,1270.0,1134.0,1027.0,396.66023980988894,396.66023980988894,0
330,train,1348.0,1116.6666259765625,1005.6666870117188,329.3822162521214,329.3822162521214,0
331,train,1344.0,1179.0,1091.0,345.6013284018864,345.6013284018864,0
332,train,1233.3333740234375,1158.6666259765625,936.3333129882812,311.744953571119,311.744953571119,0
333,train,1503.3333740234375,1162.6666259765625,960.6666870117188,380.03483833116996,380.03483833116996,0
334,train,1504.0,1250.0,1072.0,339.62716430035175,339.62716430035175,0
335,train,1566.0,1336.0,1136.0,359.1324843554203,359.1324843554203,0
336,test,0.0,0.0,0.0,349.5148702512035,349.5148702512035,0
337,test,1557.0,1452.0,1200.0,328.6232062060779,328.6232062060779,0
338,train,1474.6666259765625,1277.3333740234375,1114.0,374.34161562047314,374.34161562047314,0
339,train,1595.3333740234375,1394.6666259765625,1239.3333740234375,359.9533799136194,359.9533799136194,0
340,train,1546.0,1260.0,1050.0,414.6643954110996,414.6643954110996,0
341,train,0.0,0.0,0.0,444.5443214101256,444.5443214101256,0
342,test,1327.199951171875,1086.4000244140625,926.2000122070312,425.98556313970016,425.98556313970016,0
343,train,1202.0,1074.0,870.0,439.3869066472519,439.3869066472519,0
344,train,2168.0,1696.0,1412.0,411.97229426554173,411.97229426554173,0
345,train,0.0,0.0,0.0,423.3787035308458,423.3787035308458,0
346,train,1340.0,1066.0,901.0,455.5971720282962,455.5971720282962,0
347,train,0.0,0.0,0.0,431.07218077146626,431.07218077146626,0
348,train,1634.0,1297.0,1061.5,420.4499807059793,420.4499807059793,0
349,train,2032.0,1578.0,1327.0,406.464288684814,406.464288684814,0
350,train,1178.0,988.0,768.0,321.5005327381789,321.5005327381789,0
351,train,1464.0,1342.0,1166.0,351.45946348267387,351.45946348267387,0
352,train,1207.0,1068.0,902.0,334.57549925440884,334.57549925440884,0
353,train,1304.0,1144.0,1078.6666259765625,375.18743201124033,375.18743201124033,0
354,train,0.0,0.0,0.0,358.32218793006393,358.32218793006393,0
355,test,1128.0,1013.0,950.0,336.24345605897594,336.24345605897594,0
356,train,0.0,0.0,0.0,397.1133189437358,397.1133189437358,0
357,train,1138.0,954.0,822.0,380.3363431096964,380.3363431096964,0
358,train,0.0,0.0,0.0,357.97605125071544,357.97605125071544,0
359,train,1192.0,1014.0,841.0,383.62478129266043,383.62478129266043,0
360,train,1359.0,1166.0,1012.0,349.4886382760229,349.4886382760229,0
361,train,1440.0,1247.3333740234375,1094.6666259765625,415.19864803597926,415.19864803597926,0
362,train,1499.0,1343.0,1173.0,371.5837521985953,371.5837521985953,0
363,test,1606.0,1344.0,1166.0,394.45357575407587,394.45357575407587,0
364,train,1422.0,1282.0,1134.0,384.2440234286682,384.2440234286682,0
365,train,0.0,0.0,0.0,393.52198092921316,393.52198092921316,0
366,test,1622.0,1362.0,1194.0,386.51682846852555,386.51682846852555,0
367,train,1560.0,1408.0,1280.0,369.7769702583462,369.7769702583462,0
368,train,0.0,0.0,0.0,363.12842194908205,363.12842194908205,0
369,train,1299.0,1102.0,974.0,429.2769933492335,429.2769933492335,0
